office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,OTHER CONTRACTUAL SERVICES,143,1048.72,1048.72,ok,segment
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,ACQUISITION OF ASSETS,143,4374.7,4374.7,ok,segment
INTERN COMPENSATION - LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,144,PERSONNEL COMP. FULL-TIME PERMANENT,144,26988.72,26988.72,ok,segment
INTERN COMPENSATION - LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,144,NET PAYROLL EXPENSES,144,26988.72,26988.72,ok,block_running_total
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,149,PERSONNEL BENEFITS,149,296.33,0.0,no_records,segment
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,149,NET PAYROLL EXPENSES,149,296.33,0.0,no_records,block_running_total
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,149,TRAVEL AND TRANSPORTATION OF PERSONS,151,11505.08,11505.08,ok,segment
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,149,ACQUISITION OF ASSETS,151,11577.36,11577.36,ok,segment
SENATOR MIKE LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,153,PERSONNEL COMP. FULL-TIME PERMANENT,154,1409661.51,1409661.51,ok,segment
SENATOR MIKE LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,153,PERSONNEL BENEFITS,154,770.26,0.0,no_records,segment
SENATOR MIKE LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,153,NET PAYROLL EXPENSES,154,1410431.77,1409661.51,fail,block_running_total
SENATOR MIKE LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,153,TRAVEL AND TRANSPORTATION OF PERSONS,162,52319.63,52319.63,ok,segment
SENATOR MIKE LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,153,OTHER CONTRACTUAL SERVICES,162,171.22,171.22,ok,segment
SENATOR MIKE LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,153,ACQUISITION OF ASSETS,162,182.29,182.29,ok,segment
INTERN COMPENSATION - LEE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,163,PERSONNEL COMP. FULL-TIME PERMANENT,163,18074.95,18074.95,ok,segment
