office,funding_year,start_page,status,record_count,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
CAUCUS - INTERNATIONAL NARCOTICS CONTROL,2024,443,ok,0,0,0.0,0.0,0,0
CAUCUS - INTERNATIONAL NARCOTICS CONTROL,2025,444,ok,2,2,2251.25,0.0,0,0
CAUCUS - INTERNATIONAL NARCOTICS CONTROL,2026,445,ok,10,10,277004.82,0.0,0,0
SENATOR ANGELA ALSOBROOKS,2025,446,ok,25,25,51940.83,0.0,0,0
INTERN COMPENSATION - ALSOBROOKS,2025,448,ok,0,0,0.0,0.0,0,0
SENATOR ANGELA ALSOBROOKS,2026,449,ok,139,139,2039930.83,0.0,0,0
INTERN COMPENSATION - ALSOBROOKS,2026,455,ok,9,9,36613.21,0.0,0,0
MEMBER PROTECTION - ALSOBROOKS,2026,456,ok,0,0,0.0,0.0,0,0
SENATOR ALAN ARMSTRONG,2026,457,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - ARMSTRONG,2026,458,ok,0,0,0.0,0.0,0,0
MEMBER PROTECTION - ARMSTRONG,2026,459,ok,0,0,0.0,0.0,0,0
SENATOR TAMMY BALDWIN,2024,460,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BALDWIN,2024,461,ok,0,0,0.0,0.0,0,0
SENATOR TAMMY BALDWIN,2025,462,ok,102,102,50369.63,0.0,0,0
INTERN COMPENSATION - BALDWIN,2025,467,ok,0,0,0.0,0.0,0,0
SENATOR TAMMY BALDWIN,2026,468,ok,204,204,2047881.76,0.0,0,0
INTERN COMPENSATION - BALDWIN,2026,476,ok,9,9,18301.78,0.0,0,0
MEMBER PROTECTION - BALDWIN,2026,477,ok,0,0,0.0,0.0,0,0
SENATOR JIM BANKS,2025,478,ok,114,114,173644.53,0.0,0,0
INTERN COMPENSATION - BANKS,2025,484,ok,0,0,0.0,0.0,0,0
SENATOR JIM BANKS,2026,485,ok,521,521,2058672.04,0.0,0,0
INTERN COMPENSATION - BANKS,2026,505,ok,12,12,26998.9,0.0,0,0
MEMBER PROTECTION - BANKS,2026,506,ok,0,0,0.0,0.0,0,0
SENATOR JOHN BARRASSO,2024,507,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BARRASSO,2024,508,ok,0,0,0.0,0.0,0,0
SENATOR JOHN BARRASSO,2025,509,ok,140,140,71622.76,0.0,0,0
INTERN COMPENSATION - BARRASSO,2025,515,ok,0,0,0.0,0.0,0,0
SENATOR JOHN BARRASSO,2026,516,ok,150,150,1731221.88,0.0,0,0
INTERN COMPENSATION - BARRASSO,2026,521,ok,8,8,22695.08,0.0,0,0
MEMBER PROTECTION - BARRASSO,2026,522,ok,0,0,0.0,0.0,0,0
SENATOR MICHAEL BENNET,2024,523,ok,1,1,160.0,0.0,0,0
INTERN COMPENSATION - BENNET,2024,524,ok,0,0,0.0,0.0,0,0
SENATOR MICHAEL BENNET,2025,525,ok,116,116,44756.11,0.0,0,0
INTERN COMPENSATION - BENNET,2025,530,ok,0,0,0.0,0.0,0,0
SENATOR MICHAEL BENNET,2026,531,ok,207,207,1939980.86,0.0,0,0
INTERN COMPENSATION - BENNET,2026,538,ok,8,8,24401.85,0.0,0,0
MEMBER PROTECTION - BENNET,2026,539,ok,0,0,0.0,0.0,0,0
SENATOR MARSHA BLACKBURN,2024,540,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BLACKBURN,2024,541,ok,0,0,0.0,0.0,0,0
SENATOR MARSHA BLACKBURN,2025,542,ok,174,174,29378.6,0.0,0,0
INTERN COMPENSATION - BLACKBURN,2025,549,ok,0,0,0.0,0.0,0,0
SENATOR MARSHA BLACKBURN,2026,550,ok,510,510,1988645.97,0.0,0,0
INTERN COMPENSATION - BLACKBURN,2026,568,ok,6,6,20607.74,0.0,0,0
MEMBER PROTECTION - BLACKBURN,2026,569,ok,0,0,0.0,0.0,0,0
SENATOR RICHARD BLUMENTHAL,2024,570,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - BLUMENTHAL,2024,571,ok,0,0,0.0,0.0,0,0
SENATOR RICHARD BLUMENTHAL,2025,572,ok,46,46,14697.78,0.0,0,0
INTERN COMPENSATION - BLUMENTHAL,2025,575,ok,0,0,0.0,0.0,0,0
SENATOR RICHARD BLUMENTHAL,2026,576,ok,135,135,2039382.16,0.0,0,0
INTERN COMPENSATION - BLUMENTHAL,2026,582,ok,22,22,32258.95,0.0,0,0
MEMBER PROTECTION - BLUMENTHAL,2026,583,ok,0,0,0.0,0.0,0,0
SENATOR LISA BLUNT ROCHESTER,2025,584,ok,48,48,48479.8,0.0,0,0
INTERN COMPENSATION - BLUNT ROCHESTER,2025,587,ok,0,0,0.0,0.0,0,0
SENATOR LISA BLUNT ROCHESTER,2026,588,ok,177,177,1846358.78,0.0,0,0
INTERN COMPENSATION - BLUNT ROCHESTER,2026,595,ok,17,17,37375.0,0.0,0,0
