office,funding_year,account,start_page,label,check_page,expected,actual,status,basis,second_opinion,independent_sum,context
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,NET PAYROLL EXPENSES,43,1768217.35,1768217.35,ok,block_running_total,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,TRAVEL AND TRANSPORTATION OF PERSONS,68,106633.0,106633.0,ok,segment,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,OTHER CONTRACTUAL SERVICES,68,1261.88,1261.88,ok,segment,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,ACQUISITION OF ASSETS,68,20971.84,20971.84,ok,segment,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,BANNER NET PAYROLL,42,1768217.35,1768217.35,ok,banner,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,BANNER ORGANIZATION TOTALS,42,2002516.18,1897084.07,warn,banner,,,banner_only_categories
INTERN COMPENSATION - KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,69,PERSONNEL COMP. FULL-TIME PERMANENT,69,40283.31,40283.31,ok,segment,,,
INTERN COMPENSATION - KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,69,NET PAYROLL EXPENSES,69,40283.31,40283.31,ok,block_running_total,,,
INTERN COMPENSATION - KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,69,BANNER NET PAYROLL,69,40283.31,40283.31,ok,banner,,,
INTERN COMPENSATION - KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,69,BANNER ORGANIZATION TOTALS,69,40283.31,40283.31,ok,banner,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,PERSONNEL COMP. FULL-TIME PERMANENT,71,978090.8,978090.8,ok,segment,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,PERSONNEL BENEFITS,71,2929.4,0.0,no_records,segment,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,NET PAYROLL EXPENSES,71,981020.2,981020.2,ok,block_running_total,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,TRAVEL AND TRANSPORTATION OF PERSONS,76,27490.88,27490.88,ok,segment,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,OTHER CONTRACTUAL SERVICES,76,20.0,20.0,ok,segment,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,BANNER NET PAYROLL,70,981020.2,981020.2,ok,banner,,,
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,BANNER ORGANIZATION TOTALS,70,1018117.79,1008531.08,warn,banner,,,banner_only_categories
INTERN COMPENSATION - KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,77,PERSONNEL COMP. FULL-TIME PERMANENT,77,2589.52,2589.52,ok,segment,,,
INTERN COMPENSATION - KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,77,NET PAYROLL EXPENSES,77,2589.52,2589.52,ok,block_running_total,,,
INTERN COMPENSATION - KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,77,BANNER NET PAYROLL,77,2589.52,2589.52,ok,banner,,,
INTERN COMPENSATION - KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,77,BANNER ORGANIZATION TOTALS,77,2589.52,2589.52,ok,banner,,,
SENATOR ANGUS KING,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,78,BANNER NET PAYROLL,78,0.0,0.0,banner_missing,banner,,,
SENATOR ANGUS KING,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,78,BANNER ORGANIZATION TOTALS,78,0.0,0.0,ok,banner,,,
