office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2827,PERSONNEL COMP. FULL-TIME PERMANENT,2829,4873238.48,4873238.48,ok,segment
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2827,RE-EMPLOYED ANNUITANTS,2829,33840.0,0.0,no_records,segment
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2827,PERSONNEL BENEFITS,2829,10972.02,0.0,no_records,segment
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2827,NET PAYROLL EXPENSES,2829,4918050.5,4873238.48,fail,block_running_total
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2827,TRAVEL AND TRANSPORTATION OF PERSONS,2832,36938.56,36938.56,ok,segment
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2827,OTHER CONTRACTUAL SERVICES,2833,18890.57,18890.57,ok,segment
ENERGY AND NATURAL RESOURCES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2837,PERSONNEL COMP. FULL-TIME PERMANENT,2838,2575719.13,2575719.13,ok,segment
ENERGY AND NATURAL RESOURCES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2837,RE-EMPLOYED ANNUITANTS,2838,12798.0,0.0,no_records,segment
ENERGY AND NATURAL RESOURCES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2837,PERSONNEL BENEFITS,2838,5936.34,0.0,no_records,segment
ENERGY AND NATURAL RESOURCES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2837,NET PAYROLL EXPENSES,2838,2594453.47,2575719.13,fail,block_running_total
ENERGY AND NATURAL RESOURCES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2837,TRAVEL AND TRANSPORTATION OF PERSONS,2841,29286.55,29286.55,ok,segment
ENERGY AND NATURAL RESOURCES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2837,OTHER CONTRACTUAL SERVICES,2842,9229.94,9229.94,ok,segment
ENVIRONMENT AND PUBLIC WORKS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2846,PERSONNEL COMP. FULL-TIME PERMANENT,2847,2860421.04,2860421.04,ok,segment
ENVIRONMENT AND PUBLIC WORKS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2846,RE-EMPLOYED ANNUITANTS,2847,10092.0,0.0,no_records,segment
ENVIRONMENT AND PUBLIC WORKS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2846,PERSONNEL BENEFITS,2847,5185.06,0.0,no_records,segment
ENVIRONMENT AND PUBLIC WORKS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2846,NET PAYROLL EXPENSES,2847,2875698.1,2860421.04,fail,block_running_total
ENVIRONMENT AND PUBLIC WORKS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2846,TRAVEL AND TRANSPORTATION OF PERSONS,2849,10373.7,10373.7,ok,segment
ENVIRONMENT AND PUBLIC WORKS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2846,OTHER CONTRACTUAL SERVICES,2849,8759.0,8759.0,ok,segment
ETHICS COMMITTEE ON ETHICS - FY 2024 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2852,PERSONNEL COMP. FULL-TIME PERMANENT,2852,939581.13,939581.13,ok,segment
ETHICS COMMITTEE ON ETHICS - FY 2024 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2852,PERSONNEL BENEFITS,2852,332577.97,0.0,no_records,segment
ETHICS COMMITTEE ON ETHICS - FY 2024 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2852,NET PAYROLL EXPENSES,2852,1272159.1,939581.13,fail,block_running_total
ETHICS COMMITTEE ON ETHICS - FY 2024 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2852,TRAVEL AND TRANSPORTATION OF PERSONS,2853,8779.72,8779.72,ok,segment
ETHICS COMMITTEE ON ETHICS - FY 2024 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2852,OTHER CONTRACTUAL SERVICES,2854,5952.53,5952.53,ok,segment
FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2858,PERSONNEL COMP. FULL-TIME PERMANENT,2860,5562315.73,5562315.73,ok,segment
FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2858,PERSONNEL BENEFITS,2860,6680.25,0.0,no_records,segment
FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2858,NET PAYROLL EXPENSES,2860,5568995.98,5562315.73,fail,block_running_total
FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2858,TRAVEL AND TRANSPORTATION OF PERSONS,2862,17161.88,17161.88,ok,segment
FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2858,OTHER CONTRACTUAL SERVICES,2862,14856.0,14856.0,ok,segment
FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2858,ACQUISITION OF ASSETS,2863,1488.91,1488.91,ok,segment
FOREIGN RELATIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2864,TRAVEL AND TRANSPORTATION OF PERSONS,2864,60.0,60.0,ok,segment
FOREIGN RELATIONS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2865,OTHER CONTRACTUAL SERVICES,2865,36000.0,36000.0,ok,segment
FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2867,PERSONNEL COMP. FULL-TIME PERMANENT,2869,4581882.78,4581882.78,ok,segment
FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2867,PERSONNEL BENEFITS,2869,9764.38,0.0,no_records,segment
FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2867,NET PAYROLL EXPENSES,2869,4591647.16,4581882.78,fail,block_running_total
FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2867,TRAVEL AND TRANSPORTATION OF PERSONS,2875,38325.69,38325.69,ok,segment
FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2867,OTHER CONTRACTUAL SERVICES,2876,41255.0,41255.0,ok,segment
FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2867,ACQUISITION OF ASSETS,2876,6196.56,6196.56,ok,segment
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2880,ACQUISITION OF ASSETS,2880,10790.0,10790.0,ok,segment
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2881,PERSONNEL COMP. FULL-TIME PERMANENT,2884,5684096.17,5684096.17,ok,segment
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2881,PERSONNEL BENEFITS,2884,10260.0,0.0,no_records,segment
HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2881,NET PAYROLL EXPENSES,2884,5694356.17,5684096.17,fail,block_running_total
