severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2572,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,4833232.05,status=fail; banner=4833232.05; parsed_body=4742082.5. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2572|HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|4833232.05
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2578,"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"118sdoc11|banner_check_missing|2578|HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0"
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2579,"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"118sdoc11|banner_check_missing|2579|HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0"
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2580,"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,BANNER NET PAYROLL,2507.68,status=fail; banner=2507.68; parsed_body=2991.37. Banner checks are advisory; review against the source before treating this as a parser defect.,"118sdoc11|banner_check_discrepancy|2580|HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|2507.68"
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2580,"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,BANNER ORGANIZATION TOTALS,662219.88,status=fail; banner=662219.88; parsed_body=589681.77. Banner checks are advisory; review against the source before treating this as a parser defect.,"118sdoc11|banner_check_discrepancy|2580|HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|662219.88"
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2582,"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,BANNER NET PAYROLL,5375473.31,status=fail; banner=5375473.31; parsed_body=5369974.18. Banner checks are advisory; review against the source before treating this as a parser defect.,"118sdoc11|banner_check_discrepancy|2582|HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|5375473.31"
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2582,"HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,BANNER ORGANIZATION TOTALS,5435905.21,status=fail; banner=5435905.21; parsed_body=5403756.48. Banner checks are advisory; review against the source before treating this as a parser defect.,"118sdoc11|banner_check_discrepancy|2582|HEALTH, EDUCATION, LABOR, AND PENSIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|5435905.21"
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2588,INDIAN AFFAIRS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2588|INDIAN AFFAIRS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2589,INDIAN AFFAIRS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2589|INDIAN AFFAIRS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2590,INDIAN AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,21025.23,status=warn; banner=21025.23; parsed_body=7059.54. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2590|INDIAN AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|21025.23
