source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,195,195,banner,True,195,195,MAJORITY LEADER (R),2025,96,41,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,196,196,banner,True,196,196,MINORITY WHIP (R),2023,62,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,197,197,banner,True,197,197,MINORITY WHIP (R),2024,59,28,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,198,198,banner,True,198,198,MAJORITY WHIP (R),2025,107,43,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,199,199,banner,True,199,199,MINORITY CONFERENCE COMMITTEE (R),2021,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,200,200,banner,True,200,200,MINORITY CONFERENCE COMMITTEE (R),2022,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,201,201,banner,True,201,201,MINORITY CONFERENCE COMMITTEE (R),2023,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,202,202,banner,True,202,202,MINORITY CONFERENCE COMMITTEE (R),2023,121,51,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,203,203,data,True,202,202,MINORITY CONFERENCE COMMITTEE (R),2023,157,60,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,204,204,data,True,202,202,MINORITY CONFERENCE COMMITTEE (R),2023,145,59,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,205,205,data,True,202,202,MINORITY CONFERENCE COMMITTEE (R),2023,155,56,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,206,206,data,True,202,202,MINORITY CONFERENCE COMMITTEE (R),2023,111,34,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,207,207,banner,True,207,207,MINORITY CONFERENCE COMMITTEE (R),2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,208,208,banner,True,208,208,MINORITY CONFERENCE COMMITTEE (R),2024,106,47,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,209,209,banner,True,209,209,MAJORITY CONFERENCE COMMITTEE (R),2025,93,35,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,210,210,banner,True,210,210,MINORITY POLICY COMMITTEE (R),2021,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,211,211,banner,True,211,211,MINORITY POLICY COMMITTEE (R),2022,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,212,212,banner,True,212,212,MINORITY POLICY COMMITTEE (R),2023,104,36,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,213,213,banner,True,213,213,MINORITY POLICY COMMITTEE (R),2023,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,214,214,banner,True,214,214,MINORITY POLICY COMMITTEE (R),2024,118,38,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,215,215,banner,True,215,215,MINORITY POLICY COMMITTEE (R),2024,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,216,216,banner,True,216,216,MAJORITY POLICY COMMITTEE (R),2025,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,217,217,banner,True,217,217,MAJORITY POLICY COMMITTEE (R),2025,173,51,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,218,218,data,True,217,217,MAJORITY POLICY COMMITTEE (R),2025,17,10,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,219,219,banner,True,219,219,SECRETARY FOR THE MINORITY (R),2023,56,27,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,220,220,banner,True,220,220,SECRETARY FOR THE MINORITY (R),2024,65,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,221,221,banner,True,221,221,SENATE CHILD CARE CENTER,2021,59,28,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,222,222,banner,True,222,222,SENATE CHILD CARE – AGENCY CONTRIBUTIONS – P.L. 102-90,2022,57,28,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,223,223,banner,True,223,223,SENATE CHILD CARE – SALARY REIMBURSEMENT – S. RES. 329,2022,54,27,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,224,224,banner,True,224,224,SENATE CHILD CARE – TRAINING EXPENSES – P.L. 104-197,2022,54,27,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,225,225,banner,True,225,225,SENATE CHILD CARE – AGENCY CONTRIBUTIONS – P.L. 102-90,2023,61,29,block_start
