office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
INTERN COMPENSATION - WELCH,2025,2364,ok,ok,7,1,0,2,0,7,36732.8,0.0,0,0
SENATOR SHELDON WHITEHOUSE,2023,2365,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - WHITEHOUSE,2023,2366,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR SHELDON WHITEHOUSE,2024,2367,ok,fail,69,4,3,4,0,69,9959.87,0.0,0,0
INTERN COMPENSATION - WHITEHOUSE,2024,2371,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR SHELDON WHITEHOUSE,2025,2372,ok,fail,235,9,8,7,0,235,1546181.65,0.0,0,0
INTERN COMPENSATION - WHITEHOUSE,2025,2381,ok,ok,10,1,0,2,0,10,42776.48,0.0,0,0
SENATOR ROGER WICKER,2023,2382,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - WICKER,2023,2383,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ROGER WICKER,2024,2384,ok,fail,32,3,2,5,0,32,54321.28,0.0,0,0
INTERN COMPENSATION - WICKER,2024,2387,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ROGER WICKER,2025,2388,ok,fail,250,10,9,6,0,250,1694484.34,0.0,0,0
INTERN COMPENSATION - WICKER,2025,2398,ok,ok,3,1,0,2,0,3,19066.64,0.0,0,0
SENATOR RON WYDEN,2023,2399,ok,banner_missing,3,1,0,1,0,3,333.66,0.0,0,0
INTERN COMPENSATION - WYDEN,2023,2400,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR RON WYDEN,2024,2401,ok,warn,24,2,1,2,0,24,5426.06,0.0,0,0
INTERN COMPENSATION - WYDEN,2024,2403,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR RON WYDEN,2025,2404,ok,warn,257,9,8,5,0,257,2008620.03,0.0,0,0
INTERN COMPENSATION - WYDEN,2025,2413,ok,ok,3,1,0,2,0,3,21112.0,0.0,0,0
SENATOR TODD YOUNG,2023,2414,ok,banner_missing,1,1,0,1,0,1,7.27,0.0,0,0
INTERN COMPENSATION - YOUNG,2023,2415,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR TODD YOUNG,2024,2416,ok,warn,59,4,3,4,0,59,21766.52,0.0,0,0
INTERN COMPENSATION - YOUNG,2024,2420,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR TODD YOUNG,2025,2421,ok,warn,188,9,8,5,0,188,1893630.73,0.0,0,0
INTERN COMPENSATION - YOUNG,2025,2430,ok,ok,10,1,0,2,0,10,11839.6,0.0,0,0
STATIONERY,,2431,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
LEGAL COUNSEL,2023,2432,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
LEGAL COUNSEL,2024,2433,ok,warn,1,1,0,1,0,1,500.0,0.0,0,0
LEGAL COUNSEL,2025,2434,ok,warn,9,1,0,4,0,9,550193.88,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2023,2435,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
